relative_path,sha256,bytes
behavior/math-all-objects.docx,970e9bbbcc5bf3ed59b4380a0751edb32df3cfee7e0f82aa37fb78e95949d930,14491
behavior/math-delimiter-tests.docx,f795b96ac47325d7e233994d581663a03f4723eef726e4cd9e82d281f4254cdf,14521
behavior/math-eqarr-tests.docx,e3d152989b1a1c235cacc9c4448e25455f26c83c0bce3019003fcccd3e1ff7f2,11430
behavior/math-func-tests.docx,df3c3e7c4037f6428fee6544dfedd3e69e45e5e7fc508086d328242e8977055a,13871
behavior/math-groupchr-tests.docx,4edcbf241a212dae4d7c5534dfd47621421a65bf66c4ba7b4eada1ce4fb3acf8,11845
behavior/math-limit-tests.docx,f7ece685fff128b143790cf5227716cb808c2086ee1dd44e9e83c43955dc45aa,14494
behavior/math-matrix-tests.docx,6c0ad6c8ef64e43a59fd3b2607b7c4f33e0e67f8667ad3a2aa99417fb72a2e2d,11873
behavior/math-nary-tests.docx,d6bd58bac25edd9da85a991808074506ade98d15a80d0f09dc4bdf69b95bb786,12529
behavior/math-phantom-tests.docx,e6fdfb6f2fcc467002e7f4b7f3bdd623849a3c42c8ca6ca69bec8a793f51e040,14350
behavior/math-radical-tests.docx,0b1d0278ce5d48874c194d3ae01196073e58fe15a00e92b38ecbdc616f4e006a,13572
behavior/multi-image-types.docx,4858c9853beebea79220e26798ebbfe8819c2cab16138cdac8f3b41d63209b50,20320
behavior/pageref-standalone-h.docx,7c31a68295def038b461df2880d7f7005363e4281cfb4221437b9d6cb83b3dbf,13825
behavior/pageref-standalone-uppercase-h.docx,e81d1fa10c3488bec65327b82d05a828612252301ed146bcebeb7d11deb1272a,13828
behavior/rtl-header-footer.docx,a291bf4a730d40b32a0e8f2381b1472426961200ad1c6aeb1f8090e84e5d8586,18522
behavior/rtl-mixed-bidi.docx,10415d5332d6741b8b31ae5682fa9dfe265fb2d0773b311157d913f0984cfa88,13888
behavior/rtl-page-numpages.docx,96fa27757a0549e9064d985455deb4fab2047c5be4ff6675b1b0b63d5ca444a4,18677
behavior/sd-1960-word-replacement-no-comments.docx,4cb1926093e042348534feaa09f4009c20059da27d52d9afe1fe1ec7e62d5387,14198
behavior/sd-2323-image-resize-test.docx,16100cd46d2ad022c43546a1caba26bc6a304a7c9d4651fed2dbca760a86c8e3,15848
behavior/sd-2343-table-border-widths.docx,aa940255be3f232a469fafbcb729f30ef8c0316e48aacc3a05d03ffc8b481923,14629
behavior/sd-2447-toc-tab-alignment.docx,fe11d14f448a35ce53e9fd456484228391196976158b3b3d127598c18c9b273f,14694
behavior/sd-2517-localized-heading-styles.docx,8441c4ae21d5c3fce51f5a8aae0d570291af2e0c40191280ad18b0fd371fa78e,103145
behavior/sd-2672-gridbefore-vmerge.docx,f584285fed7e5b5b071f0cff48479f25f18d8a79759771c5763035c5e22cbb4b,69602
behavior/sd-2672-merged-table.docx,ae9360e096f46621c0ff7f08f63196c45ed1e24fb91a4e465c2df419c4b03a7b,13867
behavior/sd-2672-multipara-cell.docx,e663016796d79ebbcce697faa77bddf50424afdcaffb498d7704c847262c281d,69471
behavior/sd-2672-nested-table.docx,cdf27ad0d343b0f4aac2cc019ca445cdc1a169fd83295ee18d5a9dfcd8e5c858,70071
behavior/sd-2672-plain-3x3.docx,18b8dd8ea3266392233d4817a4ba46bdbd0d5eb28ed3905f266e318bff156dda,13877
behavior/sd-2672-rtl-table.docx,667af231c2fb0524e794cf4945db06268516fce64b387dcb778f0d011ad02db9,13784
behavior/sd-2672-sdt-table.docx,cfd53bad25da8fe54e3725c041ee967a6d3b4634853f3cdea3f0f7bb4fbe6b82,69668
behavior/sd-2750-borderbox.docx,671ff91b1dcc5bff3ca65864a602637ac987d95592569296f9c8399d85168b36,12579
behavior/sd-2888-hyperlink-with-ampersand.docx,9322444a3fbc7aa587427cdbcd1fedf3c90d331b088f40e66ae01d894a8cc09d,13588
behavior/tiff-image.docx,c4ee48351996f12a2a0ddf32667fcf8b5a250fb817df54044b338ec3a09d1a6e,3913
behavior/two-column-simple.docx,776a437291fbdd2cbb1e57ce6cecdf61c9b64338a26d1c69456f4ad1d411480d,28755
behavior/word-native-bullet-circle.docx,9e80f22c51d4bffc45067a1cf7b8bed79dadcae2286fe3a2bc41c0270cb5a19a,14462
behavior/word-native-bullet-disc.docx,79cb6b6c0f90b52fe96debdd7d0ab494f21d6ddf65902f768c8f72d8e2abc66b,14456
behavior/word-native-bullet-square.docx,432a12b1a94c77f11e4201f2d58e1aeb3099f1d4f251665a39f7726720b0f552,14458
cli-legacy/replace-test.docx,3539cf24044e459a8ee7a22fc5c15e6dd79f6894a88d62b10773fc451b0695d8,40000
cli-legacy/sample.docx,3539cf24044e459a8ee7a22fc5c15e6dd79f6894a88d62b10773fc451b0695d8,40000
doc-api-stories/diff-doc1.docx,5efd1fcd25d4420b86566d851a314e1f027c03b0b99b6de548cdcc1494feb1ed,165390
doc-api-stories/diff-doc2.docx,ad00cf90d733b90e473d4c96de389ea7443fb321c8298dbcf4f52de498b58670,163827
doc-api-stories/numwords.docx,18eb110b3bca58c9fe4ac8a61b1079374dd89fb65b2acf5d8400d92774f3954b,15364
doc-api-stories/sd-2086-header-row-shading-api.docx,56d68160f4b9aeba84fb795ddb13b4d8fc2b1e68ad6f4b145523fae84fe235c8,13814
doc-api-stories/table-style-options-roundtrip.docx,bb9c5a8bd548029716a5185372587058cee19a51f1bb3e42e531c61cde88ddee,3227
evals/basic-list.docx,82794f31fff4ada914b27ef8a2617b56d32b6af2f7d68f1f53f8bf7375e1f620,15154
evals/blank.docx,eb714d5f76c1c5e732d2059e63a0cfff5ddccbf61eeb0fc1b9064599dbc20695,26489
evals/comments-doc.docx,bb35ae41ba7e1d8bdb22022e20d36c2b6078598256395669dc178a8f5108cefc,7619
evals/document.docx,3ad13eed3d3ba0f84480e28d3e0442750700c39ed822edb29d7f15f9c403aab4,87063
evals/employment-offer.docx,9e4a01de0ae4566ecf5976a1a2f96c963425e8bbc41f0a03513959f9a3add963,37687
evals/lease-agreement.docx,546864032e1414f800e5c19022d3d474b5f7db25dff62660cbf8cdc7f9ff1a61,38329
evals/memorandum.docx,3d9b31338f611942ae71cd162285b8e328a7643df79b685a574676b083654b30,16596
evals/nda.docx,f89ff5989b693241003ac89ad46cdf67923bb22fb02cf526a9e4303be906740a,28458
evals/report-with-formatting.docx,0a2898b58af03454d2191d830cfa2ae580eb1fb611cd95b72b6c6c7b759d7e48,38069
evals/table-doc.docx,e844ea2053e6c59a6685834b5c901ac9fba472e925337b59e46e746fbde36d35,14517
layout-engine/shapes/basic-vector-shapes.docx,fa4d5010d8f39a9581caeb342b1b44d5221ceb8b8a880ad48c12606453dc30a6,17633
super-editor/Google Docs Originated comments & TCs.docx,d48e02b548312f45d43b7ab07263cfadb009db04eecceff495666f0b1509f944,8377
super-editor/Hello docx world.docx,d0281643d2dd5d1194350fe9e7a02e2194377d5dff13f4bb4afd8fe1e027727a,13282
